source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
cfr-8:106.1-9	cfr.sections[8:106.1].blocks[9]	141	101(a)	{"family":"unknown","targetTitle":"Higher Education Act of 1965","targetSection":"101","targetPath":["a"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"usc","targetTitle":"20","targetSection":"1001","targetPath":["a"],"ruleId":"contextual-explicit-USC"}	The surrounding sentence immediately supplies 20 U.S.C. 1001(a); the named-act section should resolve to that USC section rather than an untyped official-only act search.
cfr-8:214.2-1727	cfr.sections[8:214.2].blocks[1727]	51	36(a)	{"family":"unknown","targetTitle":"State Department Basic Authorities Act of 1956","targetSection":"36","targetPath":["a"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"usc","targetTitle":"22","targetSection":"2708","targetPath":["a"],"ruleId":"contextual-explicit-USC"}	The same sentence identifies the codification as 22 U.S.C. 2708(a), so the named-act citation has a precise USC target.
cfr-20:655.103-81	cfr.sections[20:655.103].blocks[81]	335	3(f)	{"family":"unknown","targetTitle":"Fair Labor Standards Act of 1938","targetSection":"3","targetPath":["f"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"usc","targetTitle":"29","targetSection":"203","targetPath":["f"],"ruleId":"contextual-explicit-USC"}	The paragraph expressly gives the FLSA codification as 29 U.S.C. 203(f); the short Act citation should inherit that exact target.
cfr-20:655.1300-87	cfr.sections[20:655.1300].blocks[87]	48	3(f)	{"family":"unknown","targetTitle":"Fair Labor Standards Act of 1938","targetSection":"3","targetPath":["f"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"usc","targetTitle":"29","targetSection":"203","targetPath":["f"],"ruleId":"contextual-explicit-USC"}	The surrounding sentence expressly supplies 29 U.S.C. 203(f), making the Act-only target semantically incomplete.
cfr-29:501.3-58	cfr.sections[29:501.3].blocks[58]	331	3(f)	{"family":"unknown","targetTitle":"Fair Labor Standards Act of 1938","targetSection":"3","targetPath":["f"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"usc","targetTitle":"29","targetSection":"203","targetPath":["f"],"ruleId":"contextual-explicit-USC"}	The paragraph expressly gives the FLSA codification as 29 U.S.C. 203(f); the short Act citation should inherit that exact target.
cfr-29:502.10-61	cfr.sections[29:502.10].blocks[61]	48	3(f)	{"family":"unknown","targetTitle":"Fair Labor Standards Act of 1938","targetSection":"3","targetPath":["f"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"usc","targetTitle":"29","targetSection":"203","targetPath":["f"],"ruleId":"contextual-explicit-USC"}	The surrounding sentence expressly supplies 29 U.S.C. 203(f), making the Act-only target semantically incomplete.
cfr-20:656.40-12	cfr.sections[20:656.40].blocks[12]	99	101(a)	{"family":"unknown","targetTitle":"Higher Education Act of 1965","targetSection":"101","targetPath":["a"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"usc","targetTitle":"20","targetSection":"1001","targetPath":["a"],"ruleId":"contextual-explicit-USC"}	The same block identifies section 101(a) of the Higher Education Act as 20 U.S.C. 1001(a); the generated target should use that codification.
cfr-20:656.40-12	cfr.sections[20:656.40].blocks[12]	151	101(a)	{"family":"unknown","targetTitle":"Higher Education Act of 1965","targetSection":"101","targetPath":["a"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"usc","targetTitle":"20","targetSection":"1001","targetPath":["a"],"ruleId":"contextual-explicit-USC"}	The repeated Act citation is immediately followed by 20 U.S.C. 1001(a)(2000), confirming the precise codification.
cfr-20:656.40-12	cfr.sections[20:656.40].blocks[12]	171	20 U.S.C. 1001(a)(2000)	{"family":"usc","targetTitle":"20","targetSection":"1001","targetPath":["a","2000"],"ruleId":"explicit-usc"}	incorrect	{"family":"usc","targetTitle":"20","targetSection":"1001","targetPath":["a"],"ruleId":"explicit-usc"}	The trailing (2000) is an edition/year parenthetical, not a statutory child paragraph; including it in targetPath creates a nonexistent nested path.
cfr-appendix:20:416:appendix:1-10	cfr.appendices[20:416:appendix:1].blocks[10]	195	222(a)(5)	{"family":"unknown","targetTitle":"Economic Opportunity Act of 1964","targetSection":"222","targetPath":["a","5"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"usc","targetTitle":"42","targetSection":"2809","targetPath":["a","5"],"ruleId":"contextual-explicit-USC"}	The appendix ends the citation with 42 U.S.C. 2809(a)(5), providing the exact codification for the Economic Opportunity Act provision.
cfr-8:274a.12-82	cfr.sections[8:274a.12].blocks[82]	257	309(f)(1)	{"family":"public-law","targetCongress":"104","targetLaw":"208","targetPath":["s309","f","1"],"ruleId":"embedded-named-act-section"}	incorrect	{"family":"public-law","targetCongress":"104","targetLaw":"208","targetPath":["division-C","section-309","f","1"],"ruleId":"embedded-named-act-section"}	The cited IIRIRA provision is section 309(f)(1) in Division C of Public Law 104-208; the current target drops the material Division C nesting that the prior inventory preserved.
