# INA 101 parenthetical-reference review manifest
# Manually target-reviewed 2026-08-23. Scope: every parenthetical sequence in the operative body of 8 U.S.C. 1101.
# The annotation row is deliberately non-navigable; every other row identifies one or more working legal-reference or run-in links.
# operative-text-sha256: 5689c34ef461a3d18f9081c59c0a322f2b1b177e59a424885efeeec103133f79
# counts: reference=203 run-in=41 annotation=1 total=245
source_path	start	sequence	disposition	links
a/1	105	(b)	reference	93:122 "section 1104(b) of this title" -> USC 8:1104/b [local;house-uslm-ref]
a/6	521	(A)	run-in	521:524 (A) -> RUN-IN a/6/A
a/6	656	(B)	run-in	656:659 (B) -> RUN-IN a/6/B
a/13/B	42	(d)(5)	reference	30:62 "section 1182(d)(5) of this title" -> USC 8:1182/d/5 [local;house-uslm-ref]
a/13/C/v	51	(a)(2)	reference	39:71 "section 1182(a)(2) of this title" -> USC 8:1182/a/2 [local;house-uslm-ref]
a/13/C/v	151	(h)	reference	139:154 "section 1182(h)" -> USC 8:1182/h [local;context-bare-usc-section]
a/13/C/v	163	(a)	reference	158:166 "1229b(a)" -> USC 8:1229b/a [local;context-bare-usc-address]
a/15/A/iii	180	(i)	reference	180:183 "(i)" -> USC 8:1101/a/15/A/i [local;embedded-inferred-unit]
a/15/A/iii	188	(ii)	reference	188:192 "(ii)" -> USC 8:1101/a/15/A/ii [local;embedded-inferred-unit]
a/15/C/ii	144	(e)	reference	131:159 "section 4309a(e) of title 22" -> USC 22:4309a/e [official-source-only;house-uslm-ref]
a/15/C/ii	219	(3)	reference	219:222 "(3)" -> STAT 61:758/section-11/3 [official-source-only;embedded-named-instrument-section]
a/15/C/ii	224	(4)	reference	224:227 "(4)" -> STAT 61:758/section-11/4 [official-source-only;embedded-named-instrument-section]
a/15/C/ii	233	(5)	reference	233:236 "(5)" -> STAT 61:758/section-11/5 [official-source-only;embedded-named-instrument-section]
a/15/D/i	148	(a)	reference	136:165 "section 1288(a) of this title" -> USC 8:1288/a [local;house-uslm-ref]
a/15/E	692	(i)	run-in	692:695 (i) -> RUN-IN a/15/E/i
a/15/E	880	(ii)	run-in	880:884 (ii) -> RUN-IN a/15/E/ii
