source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
8-1157-c-3	title8.sections[1157].body[2/2]	298	(A)	usc:8:1157/c/3/A	incorrect-target	usc:8:1182/a/3/A [local]	The sentence says subparagraph (A) of paragraph (3) of section 1182(a), not subparagraph (A) of the current §1157(c)(3).
8-1157-c-3	title8.sections[1157].body[2/2]	303	(B)	usc:8:1157/c/3/B	incorrect-target	usc:8:1182/a/3/B [local]	The sentence says subparagraph (B) of paragraph (3) of section 1182(a), not subparagraph (B) of the current §1157(c)(3).
8-1157-c-3	title8.sections[1157].body[2/2]	308	(C)	usc:8:1157/c/3/C	incorrect-target	usc:8:1182/a/3/C [local]	The sentence says subparagraph (C) of paragraph (3) of section 1182(a), not subparagraph (C) of the current §1157(c)(3).
8-1157-c-3	title8.sections[1157].body[2/2]	316	(E)	usc:8:1157/c/3/E	incorrect-target	usc:8:1182/a/3/E [local]	The sentence says subparagraph (E) of paragraph (3) of section 1182(a), not subparagraph (E) of the current §1157(c)(3).
8-1612-a-2-M-i-I	title8.sections[1612].body[0/1/12/0/0]	84	(A)	usc:8:1101/A	incorrect-target	usc:8:1612/a/2/A [local]	The specified Federal program is described in subparagraph (A) of the current §1612(a)(2), not §1101(A).
8-1612-a-2-M-ii	title8.sections[1612].body[0/1/12/1]	238	(A)	usc:8:1101/A	incorrect-target	usc:8:1612/a/2/A [local]	The phrase describes the specified program's subparagraph (A) in §1612(a)(2); the current §1101(A) target is an inherited-container error.
8-1154-a-1-B-ii-I	title8.sections[1154].body[0/0/1/1/0]	222	(iii)	usc:8:1153/a/2/A/iii	invalid-source-citation	UNRESOLVED: usc:8:1153/a/2/A/iii is absent from the current Title 8 hierarchy	The source text expressly says clause (iii) of §1153(a)(2)(A), but the current corpus has no such clause node; this cannot be offered as a valid local target.
8-1367-d	title8.sections[1367].body[3]	518	8 U.S.C. 1101(a)(15)(u)	usc:8:1101/a/15/u	incorrect-target	usc:8:1101/a/15/U [local]	The statutory parallel citation is 8 U.S.C. 1101(a)(15)(U); the generated lowercase /u path is not the canonical statutory unit and loses the local target.
8-1160-c-2-B-ii-I	title8.sections[1160].body[2/1/1/1/0]	11	(2)(A)	usc:8:1160/c/2/A	incorrect-target	usc:8:1182/a/2/A [local]	This run-in sentence refers to paragraph (2)(A) of section 1182(a), not paragraph (2)(A) of current §1160(c)(2)(B)(ii).
8-1160-c-2-B-ii-III	title8.sections[1160].body[2/1/1/1/2]	10	(2)(C)	usc:8:1160/c/2/C	incorrect-target	usc:8:1182/a/2/C [local]	This run-in sentence refers to paragraph (2)(C) of section 1182(a), not paragraph (2)(C) of current §1160(c)(2)(B)(ii).
