source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
8-1101-note-9	title8.sections[66].notes[8]	2245	(III)	USC 8:1182/III (official-source-only)	incorrect	USC 8:1101/b/1/G/iii (local)	“such section” refers to the immediately preceding section 101(b)(1)(G)(iii) of the INA; the resolver instead carried forward an unrelated section 1182 anchor from the prior amendment paragraph.
8-1101-note-9	title8.sections[66].notes[8]	414	101(a)(15)(F)(i)	PLAW-publ (official-source-only)	incorrect	INA section 101(a)(15)(F)(i) official source (USCIS INA page)	Generic Immigration and Nationality Act fallback loses its act identity during packing and hydrates to the invalid govinfo URL PLAW-publ.
8-1101-note-17	title8.sections[66].notes[16]	14706	(2)	USC 8:212/a/2 (official-source-only)	incorrect	INA section 212(a)(2), official INA source (or the adjacent codified 8 USC 1182(a)(2))	The parenthetical is a subdivision of historical INA section 212(a), not Title 8 section 212; section 212 is not a current USC section and the generated URL is semantically wrong.
8-1101-note-17	title8.sections[66].notes[16]	6303	(1)	USC 8:240A/d/1 (official-source-only)	incorrect	IIRIRA/INA section 240A(d)(1), official Public Law 104-208 source	The text expressly identifies historical INA section 240A(d) and its codification at 8 USC 1229b(d); the nested subdivision was linked to nonexistent USC section 240A.
8-1101-note-77	title8.sections[66].notes[76]	358	(b)	USC 8:1351/b (official-source-only)	incorrect	USC 18:1351/b (official-source-only)	The surrounding text says “section 1351 of title 18, United States Code”; the generated link incorrectly defaults the unqualified parenthetical to Title 8.
8-1187-note-3	title8.sections[101].notes[2]	3900	(d)	USC 8:2131/d (official-source-only)	incorrect	USC 22:2131/d (official-source-only)	The source explicitly says “subsection (d) of section 2131 of title 22”; the generated link uses Title 8.
8-1363a-note-2	title8.sections[191].notes[1]	1645	(a)	USC 8:304/a (official-source-only)	incorrect	Federal Property and Administrative Services Act §304(a), official historical-act source	This is subsection (a) of historical Act section 304, identified as the Federal Property and Administrative Services Act of 1949 (63 Stat. 395; former 41 USC 254), not Title 8 section 304.
8-1363a-note-2	title8.sections[191].notes[1]	1653	(c)	USC 8:304/c (official-source-only)	incorrect	Federal Property and Administrative Services Act §304(c), official historical-act source	Same historical-act context as the preceding subsection (a); Title 8 section 304 is not the cited source.
8-1330-note-3	title8.sections[173].notes[2]	362	203(b)	PLAW-publ (official-source-only)	incorrect	Immigration Act of 1990 §203(b), Public Law 101-649 official source	The named Act is known (Immigration Act of 1990), but the packed generic named-Act target drops the Public Law identity and hydrates to PLAW-publ.
8-1184-note-5	title8.sections[95].notes[4]	19713	101(3)	PLAW-publ (official-source-only)	incorrect	Federal Aviation Act of 1958 §101(3), official historical-act source	The cited section belongs to the Federal Aviation Act of 1958; it is not an unqualified Title 8 section and the generic named-Act fallback URL is invalid.
8-1324a-note-24	title8.sections[164].notes[23]	293	205(c)(2)(F)	PLAW-publ (official-source-only)	incorrect	USC 42:405/c/2/F (official-source-only)	The source itself supplies the codified citation “section 405(c)(2)(F) of title 42”; linking historical Social Security Act §205 to PLAW-publ loses the authoritative target.
8-1182-note-76	title8.sections[88].notes[75]	15731	215(a)	PLAW-publ (official-source-only)	incorrect	USC 8:1185/a (local)	The same sentence gives the codification “215(a) ... (8 U.S.C. 1185(a))”; the generated named-Act link is malformed instead of using the supplied current USC target.
