source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
usc-1721-c-4-234-embedded-explicit-container-0	title8/1721/c/4:text	234	(1)	8 U.S.C. §1030(a)(1)	incorrect	18 U.S.C. §1030(a)(1)	“Such title” is title 18 from the immediately preceding section 1030(e) of title 18.
usc-1721-c-4-246-embedded-explicit-container-1	title8/1721/c/4:text	246	(7)	8 U.S.C. §1030(a)(7)	incorrect	18 U.S.C. §1030(a)(7)	“Such title” is title 18 from the immediately preceding section 1030(e) of title 18.
usc-1324-b-2-158-embedded-numbered-section-list-0	title8/1324/b/2:text	158	981(d)	8 U.S.C. §981(d)	incorrect	18 U.S.C. §981(d)	“Such title” refers to title 18 in the preceding phrase “chapter 46 of title 18.”
usc-1252-a-1-310-embedded-numbered-section-list-0	title8/1252/a/1:text	310	2347(c)	8 U.S.C. §2347(c)	incorrect	28 U.S.C. §2347(c)	The sentence says review is governed by chapter 158 of title 28 and then says “such title.”
usc-1255a-a-4-144-embedded-explicit-container-0	title8/1255a/a/4:text	144	(1)	8 U.S.C. §501(e)(1)	incorrect	Pub. L. 96–422, §501(e)(1)	The sentence expressly cites section 501(e) of Public Law 96–422 and supplies the 8 U.S.C. §1522 note parallel.
usc-1255a-a-4-151-embedded-explicit-container-1	title8/1255a/a/4:text	151	(2)(A)	8 U.S.C. §501(e)(2)(A)	incorrect	Pub. L. 96–422, §501(e)(2)(A)	The sentence expressly cites section 501(e) of Public Law 96–422 and supplies the 8 U.S.C. §1522 note parallel.
usc-1255a-h-2-A-56-embedded-explicit-container-0	title8/1255a/h/2/A:text	56	(1)	8 U.S.C. §501(e)(1)	incorrect	Pub. L. 96–422, §501(e)(1)	The sentence expressly cites section 501(e) of Public Law 96–422 and supplies the 8 U.S.C. §1255 note parallel.
usc-1255a-h-2-A-63-embedded-explicit-container-1	title8/1255a/h/2/A:text	63	(2)(A)	8 U.S.C. §501(e)(2)(A)	incorrect	Pub. L. 96–422, §501(e)(2)(A)	The sentence expressly cites section 501(e) of Public Law 96–422 and supplies the 8 U.S.C. §1255 note parallel.
usc-1255a-h-3-B-i-120-embedded-explicit-container-0	title8/1255a/h/3/B/i:text	120	(B)	8 U.S.C. §1902(a)(10)(B)	incorrect	42 U.S.C. §1396a(a)(10)(B)	The text names the Social Security Act and supplies the 42 U.S.C. parallel citation.
usc-1255a-h-3-B-i-128-embedded-explicit-container-1	title8/1255a/h/3/B/i:text	128	(C)	8 U.S.C. §1902(a)(10)(C)	incorrect	42 U.S.C. §1396a(a)(10)(C)	The text names the Social Security Act and supplies the 42 U.S.C. parallel citation.
usc-1641-c-1-B-ii-34-embedded-explicit-container-0	title8/1641/c/1/B/ii:text	34	(ii)	8 U.S.C. §204(a)(1)(B)(ii)	incorrect	8 U.S.C. §1154(a)(1)(B)(ii)	The named Immigration and Nationality Act section 204 is codified at 8 U.S.C. §1154; the bracketed parallel citation confirms it.
usc-1641-c-1-B-ii-42-embedded-explicit-container-1	title8/1641/c/1/B/ii:text	42	(iii)	8 U.S.C. §204(a)(1)(B)(iii)	incorrect	8 U.S.C. §1154(a)(1)(B)(iii)	The named Immigration and Nationality Act section 204 is codified at 8 U.S.C. §1154; the bracketed parallel citation confirms it.
usc-1641-c-1-B-iv-74-embedded-explicit-container-0	title8/1641/c/1/B/iv:text	74	(i)	8 U.S.C. §204(a)(1)(A)(i)	incorrect	8 U.S.C. §1154(a)(1)(A)(i)	The named Immigration and Nationality Act section 204 is codified at 8 U.S.C. §1154; the bracketed parallel citation confirms it.
usc-1641-c-1-B-iv-180-embedded-explicit-container-0	title8/1641/c/1/B/iv:text	180	(i)	8 U.S.C. §204(a)(1)(B)(i)	incorrect	8 U.S.C. §1154(a)(1)(B)(i)	The named Immigration and Nationality Act section 204 is codified at 8 U.S.C. §1154; the bracketed parallel citation confirms it.
