source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
8-801 to 810-note-7	title8.sections[801 to 810].notes[6]	181	section 1487 of this title	usc:8:1487/ (local)	incorrect-resolution	usc:8:1487/ (official-source-only)	Section 1487 is repealed and appears only in the combined historical 1484 to 1487 record; this historical note citation must not resolve to a current local body.
8-801 to 810-note-9	title8.sections[801 to 810].notes[8]	321	section 1487 of this title	usc:8:1487/ (local)	incorrect-resolution	usc:8:1487/ (official-source-only)	Section 1487 is repealed and appears only in the combined historical 1484 to 1487 record; this historical note citation must not resolve to a current local body.
8-1101-note-17	title8.sections[1101].notes[16]	4222	8 U.S.C. 1105a	usc:8:1105a/ (local)	incorrect-resolution	usc:8:1105a/ (official-source-only)	The bracket expressly says former 8 U.S.C. 1105a and qualifies it by the enactment date; the repealed former INA codification requires an official historical target.
8-1101-note-17	title8.sections[1101].notes[16]	4391	(b)	usc:8:1105a/b (local)	incorrect-resolution	usc:8:1105a/b (official-source-only)	This subsection continues the immediately preceding former 8 U.S.C. 1105a citation, so it must retain the former codification and official-only resolution.
8-1101-note-17	title8.sections[1101].notes[16]	5156	212(c)	usc:8:1182/c (local)	incorrect-resolution	usc:8:1182/c (official-source-only)	The parallel bracket identifies former 8 U.S.C. 1182(c) and the quoted provision is effective only as of the historical enactment date.
8-1101-note-17	title8.sections[1101].notes[16]	5164	212(h)	usc:8:1182/h (local)	incorrect-resolution	usc:8:1182/h (official-source-only)	This INA section is in the same date-qualified historical citation list as former 1182(c); do not project the historical version into the current local body.
8-1101-note-17	title8.sections[1101].notes[16]	5172	212(i)	usc:8:1182/i (local)	incorrect-resolution	usc:8:1182/i (official-source-only)	This INA section is in the same date-qualified historical citation list as former 1182(c); do not project the historical version into the current local body.
8-1101-note-17	title8.sections[1101].notes[16]	5180	244	usc:8:1254a/ (local)	incorrect-target	usc:8:1254/ (official-source-only)	The text expressly identifies INA section 244 with former 8 U.S.C. 1254; the resolver selected current 1254a and also used a local resolution.
8-1101-note-17	title8.sections[1101].notes[16]	5188	245	usc:8:1255/ (local)	incorrect-resolution	usc:8:1255/ (official-source-only)	This INA section is in the date-qualified historical citation list, so its historical version must be official-only even though the current codification has the same number.
8-1101-note-17	title8.sections[1101].notes[16]	5257	1182(h)	usc:8:1182/h (local)	incorrect-resolution	usc:8:1182/h (official-source-only)	The explicit bracket’s former/date-effective context governs this repeated USC address; it must not resolve to the current local body.
8-1101-note-17	title8.sections[1101].notes[16]	12862	8 U.S.C. 1254	usc:8:1254/ (local)	incorrect-resolution	usc:8:1254/ (official-source-only)	The source says former 8 U.S.C. 1254 and “as in effect before” the title III-A date, requiring an official historical target.
8-1101-note-17	title8.sections[1101].notes[16]	5722	241(a)(2)(A)(iii)	usc:8:1231/a/2/A/iii (official-source-only)	incorrect-target	usc:8:1251/a/2/A/iii (official-source-only)	The parallel bracket expressly maps former INA section 241 to former 8 U.S.C. 1251, not current 8 U.S.C. 1231.
8-1101-note-17	title8.sections[1101].notes[16]	5741	(B)	usc:8:1231/a/2/B (local)	incorrect-target	usc:8:1251/a/2/B (official-source-only)	This continuation is within the bracketed former 8 U.S.C. 1251(a)(2) list; it must follow the historical section and official-only resolution.
8-1101-note-17	title8.sections[1101].notes[16]	5746	(C)	usc:8:1231/a/2/C (official-source-only)	incorrect-target	usc:8:1251/a/2/C (official-source-only)	This continuation is within the bracketed former 8 U.S.C. 1251(a)(2) list; the current 8 U.S.C. 1231 path is the wrong codification.
8-1101-note-17	title8.sections[1101].notes[16]	5754	(D)	usc:8:1231/a/2/D (official-source-only)	incorrect-target	usc:8:1251/a/2/D (official-source-only)	This continuation is within the bracketed former 8 U.S.C. 1251(a)(2) list; the current 8 U.S.C. 1231 path is the wrong codification.
8-1226-note-4	title8.sections[1226].notes[3]	2109	(B)	usc:8:1231/a/2/B (local)	incorrect-target	usc:8:1251/a/2/B (official-source-only)	The source bracket expressly says former 8 U.S.C. 1251(a)(2)(A)(ii), (A)(iii), (B), (C), and (D), so this continuation cannot target current 8 U.S.C. 1231.
8-1226-note-4	title8.sections[1226].notes[3]	2114	(C)	usc:8:1231/a/2/C (official-source-only)	incorrect-target	usc:8:1251/a/2/C (official-source-only)	The source bracket expressly says former 8 U.S.C. 1251(a)(2)(A)(ii), (A)(iii), (B), (C), and (D), so this continuation cannot target current 8 U.S.C. 1231.
8-1226-note-4	title8.sections[1226].notes[3]	2122	(D)	usc:8:1231/a/2/D (official-source-only)	incorrect-target	usc:8:1251/a/2/D (official-source-only)	The source bracket expressly says former 8 U.S.C. 1251(a)(2)(A)(ii), (A)(iii), (B), (C), and (D), so this continuation cannot target current 8 U.S.C. 1231.
8-1101-note-25	title8.sections[1101].notes[24]	3995	(14)	usc:8:1101/a/14 (local)	incorrect-target	usc:8:1182/a/14 (official-source-only)	The bracket explicitly identifies former section 1182(a)(14); the inferred current-section 1101 path is not the cited authority.
8-1101-note-25	title8.sections[1101].notes[24]	4001	(15)	usc:8:1101/a/15 (local)	incorrect-target	usc:8:1182/a/15 (official-source-only)	The bracket explicitly identifies former section 1182(a)(15); the inferred current-section 1101 path is not the cited authority.
8-1101-note-25	title8.sections[1101].notes[24]	4007	(20)	usc:8:1101/a/20 (local)	incorrect-target	usc:8:1182/a/20 (official-source-only)	The bracket explicitly identifies former section 1182(a)(20); the inferred current-section 1101 path is not the cited authority.
8-1101-note-25	title8.sections[1101].notes[24]	4013	(21)	usc:8:1101/a/21 (local)	incorrect-target	usc:8:1182/a/21 (official-source-only)	The bracket explicitly identifies former section 1182(a)(21); the inferred current-section 1101 path is not the cited authority.
8-1101-note-25	title8.sections[1101].notes[24]	4019	(25)	usc:8:1101/a/25 (local)	incorrect-target	usc:8:1182/a/25 (official-source-only)	The bracket explicitly identifies former section 1182(a)(25); the inferred current-section 1101 path is not the cited authority.
8-1101-note-25	title8.sections[1101].notes[24]	4029	(32)	usc:8:1101/a/32 (local)	incorrect-target	usc:8:1182/a/32 (official-source-only)	The bracket explicitly identifies former section 1182(a)(32); the inferred current-section 1101 path is not the cited authority.
8-1252-note-6	title8.sections[1252].notes[5]	952	8 U.S.C. 1105a	usc:8:1105a/ (local)	incorrect-resolution	usc:8:1105a/ (official-source-only)	The source explicitly says former 8 U.S.C. 1105a; this repealed former INA codification must remain official-only.
8-1252-note-16	title8.sections[1252].notes[15]	207	8 U.S.C. 1105a(a)	usc:8:1105a/a (local)	incorrect-resolution	usc:8:1105a/a (official-source-only)	The source cites former section 106(a) and qualifies 8 U.S.C. 1105a(a) as effective before repeal; it is historical, not the current local body.
8-1153-note-41	title8.sections[1153].notes[40]	593	section 1255a of this title	usc:8:1255a/ (local)	incorrect-resolution	usc:8:1255a/ (official-source-only)	The citation is a note locator (“under former section 1255a”), so it must not project a historical note-located authority into the current local section.
8-1153-note-43	title8.sections[1153].notes[42]	685	section 1255a of this title	usc:8:1255a/ (local)	incorrect-resolution	usc:8:1255a/ (official-source-only)	The citation is a note locator (“under former section 1255a”), so it must not project a historical note-located authority into the current local section.
8-1153-note-44	title8.sections[1153].notes[43]	629	section 1255a of this title	usc:8:1255a/ (local)	incorrect-resolution	usc:8:1255a/ (official-source-only)	The citation is a note locator (“under former section 1255a”), so it must not project a historical note-located authority into the current local section.
8-1153-note-45	title8.sections[1153].notes[44]	629	section 1255a of this title	usc:8:1255a/ (local)	incorrect-resolution	usc:8:1255a/ (official-source-only)	The citation is a note locator (“under former section 1255a”), so it must not project a historical note-located authority into the current local section.
8-1401-note-8	title8.sections[1401].notes[7]	202	8 U.S.C. 1401(b)	usc:8:1401/b (local)	incorrect-resolution	usc:8:1401/b (official-source-only)	The bracket qualifies this citation as 8 U.S.C. 1401(b) as in effect before October 10, 1978; the historical version requires an official-only resolution.
8-1101-note-17	title8.sections[1101].notes[16]	17861	8 U.S.C. 1254a(a)	usc:8:1254a/a (local)	incorrect-resolution	usc:8:1254a/a (official-source-only)	The bracket qualifies the cited codification as in effect before the title III-A effective date; retain the historical version as official-only.
8-1101-note-20	title8.sections[1101].notes[19]	3143	8 U.S.C. 1153(a)(3)	usc:8:1153/a/3 (local)	incorrect-resolution	usc:8:1153/a/3 (official-source-only)	The bracketed 8 U.S.C. 1153(a)(3), (6) citation is expressly “as in effect before” the transition date; the historical version must be official-only.
8-1229a-note-11	title8.sections[1229a].notes[10]	466	8 U.S.C. 1101	usc:8:1101/ (local)	incorrect-resolution	usc:8:1101/ (official-source-only)	The citation is to the Immigration and Nationality Act as codified before the title III-A effective date; current local title-8 text must not stand in for that historical version.
8-1229a-note-11	title8.sections[1229a].notes[10]	2347	8 U.S.C. 1101	usc:8:1101/ (local)	incorrect-resolution	usc:8:1101/ (official-source-only)	The citation is to the Immigration and Nationality Act as codified before the title III-A effective date; current local title-8 text must not stand in for that historical version.
8-1229a-note-11	title8.sections[1229a].notes[10]	2513	8 U.S.C. 1101	usc:8:1101/ (local)	incorrect-resolution	usc:8:1101/ (official-source-only)	The citation is to the Immigration and Nationality Act as codified before the title III-A effective date; current local title-8 text must not stand in for that historical version.
8-1252-note-9	title8.sections[1252].notes[8]	694	(a)	usc:8:1252/a (local)	incorrect-target	public-law:101-649/tV/s545/a (official-source-only)	The quoted “amendment made by subsection (a)” refers to subsection (a) of Public Law 101-649 section 545, the amendment that inserted former INA section 242B; it is not current USC 1252(a).
8-1252-note-9	title8.sections[1252].notes[8]	737	(e)	usc:8:1252/e (local)	incorrect-target	public-law:101-649/tV/s545/e (official-source-only)	The quoted “amendment made by subsection (e)” refers to Public Law 101-649 section 545(e), expressly described as amending this section; it is not current USC 1252(e).
8-1252-note-9	title8.sections[1252].notes[8]	1609	(a)	usc:8:1252/a (local)	incorrect-target	public-law:101-649/tV/s545/a (official-source-only)	The quoted amendment-made-by-subsection label continues the Public Law 101-649 section 545 authority and does not cite current USC 1252(a).
8-1252-note-9	title8.sections[1252].notes[8]	1890	(a)	usc:8:1252/a (local)	incorrect-target	public-law:101-649/tV/s545/a (official-source-only)	The quoted amendment-made-by-subsection label continues the Public Law 101-649 section 545 authority and does not cite current USC 1252(a).
8-1252-note-9	title8.sections[1252].notes[8]	2018	(b)	usc:8:1252/b (local)	incorrect-target	public-law:101-649/tV/s545/b (official-source-only)	The quoted amendment-made-by-subsection label identifies Public Law 101-649 section 545(b), which amended section 1105a; it is not current USC 1252(b).
