source_id	source_path	offset	text	current_target	verdict	proposed_target	rationale
cfr-8:101.3-6	cfr.sections[8:101.3].blocks[6]	571	(15)(A)	{"family":"cfr","title":"8","section":"101"}	incorrect	{"family":"ina","inaSection":"101","uscTitle":"8","uscSection":"1101","path":["a","15","A"]}	“section 101(a) of the Act” is INA section 101, not 8 CFR 101.
cfr-8:204.2-152	cfr.sections[8:204.2].blocks[152]	244	(a)(1)	{"family":"cfr","title":"8","section":"203"}	incorrect	{"family":"ina","inaSection":"203","uscTitle":"8","uscSection":"1153","path":["a","1"]}	“section 203 of the Act” is INA section 203, not 8 CFR 203.
cfr-8:236.12-0	cfr.sections[8:236.12].blocks[0]	0	301(b)(2)	{"family":"cfr","title":"8","section":"301"}	incorrect	{"family":"public-law","congress":"101","law":"649","section":"301","path":["b","2"]}	The context names section 301 of IMMACT 90 (Public Law 101-649).
cfr-8:245a.5-1	cfr.sections[8:245a.5].blocks[1]	0	501(e)	{"family":"cfr","title":"8","section":"501"}	incorrect	{"family":"public-law","congress":"96","law":"422","section":"501","path":["e"]}	The context names section 501(e) of Public Law 96-422.
cfr-6:19.9-0	cfr.sections[6:19.9].blocks[0]	65	702(a)	{"family":"public-law","url":"https://www.govinfo.gov/app/details/PLAW-publ"}	incorrect	{"family":"act","resolution":"official-source-only","section":"702(a)","url":"govinfo named-act search"}	Generic named-act references have no congress/law metadata; the packed PLAW-publ URL is invalid.
cfr-8:101.1-6	cfr.sections[8:101.1].blocks[6]	679	4 (b)	{"family":"public-law","url":"https://www.govinfo.gov/app/details/PLAW-publ"}	incorrect	{"family":"act","resolution":"official-source-only","section":"4(b)","url":"govinfo named-act search"}	Immigration Act of 1924 is named but not a specific public-law number in the text; current target is malformed.
cfr-6:19.2-9	cfr.sections[6:19.2].blocks[9]	56	42 U.S.C. 2000cc-	{"family":"usc","title":"42","section":"2000cc-"}	incorrect	{"family":"usc","title":"42","section":"2000cc-5","path":["7","A"]}	The parser stops at the hyphen and omits the cited numeric suffix 5(7)(A).
cfr-8:103.6-4	cfr.sections[8:103.6].blocks[4]	167	31 U.S.C. 9304-	{"family":"usc","title":"31","section":"9304-"}	incorrect	{"family":"usc","title":"31","section":"9304"}	A range citation must link the first complete section, not a trailing-hyphen pseudo-section.
cfr-34:676.16-0	cfr.sections[34:676.16].blocks[0]	0	34 CFR 75.60-	{"family":"cfr","title":"34","section":"75.60-"}	incorrect	{"family":"cfr","title":"34","section":"75.60"}	The generated CFR target contains an incomplete trailing-hyphen section.
cfr-8:231.1-1	cfr.sections[8:231.1].blocks[1]	0	(2)	{"family":"cfr","title":"8","section":"231.1","path":["b","1","2"]}	incorrect	{"family":"cfr","title":"8","section":"231.1","path":["b","2"]}	In “paragraph (2) of this paragraph (b),” paragraph (b) is the container; the source block’s intermediate path must not be prepended.
cfr-8:231.1-2	cfr.sections[8:231.1].blocks[2]	0	(1)	{"family":"cfr","title":"8","section":"231.1","path":["b","2","1"]}	incorrect	{"family":"cfr","title":"8","section":"231.1","path":["b","1"]}	Same paragraph-chain error: “paragraph (1) of this paragraph (b)” resolves directly under paragraph (b).
cfr-45:400.12-0	cfr.sections[45:400.12].blocks[0]	0	3(c)	{"family":"usc","title":"45","section":"3","path":["c"]}	incorrect	{"family":"cfr","title":"45","section":"16.3","path":["c"]}	“Section 16.3(c) of this title” in Title 45 CFR is a CFR citation; the decimal prefix was dropped and family misclassified as USC.
cfr-45:400.23-0	cfr.sections[45:400.23].blocks[0]	0	10(a)	{"family":"usc","title":"45","section":"10","path":["a"]}	incorrect	{"family":"cfr","title":"45","section":"205.10","path":["a"]}	“§ 205.10(a) of this title” refers to Title 45 CFR, not nonexistent USC title 45 section 10.
cfr-45:400.45-1	cfr.sections[45:400.45].blocks[1]	0	20(a)(13)	{"family":"usc","title":"45","section":"20","path":["a","13"]}	incorrect	{"family":"cfr","title":"45","section":"233.20","path":["a","13"]}	“§ 233.20(a)(13) of this title” is a Title 45 CFR reference.
